RowOrder,DocNo,SequenNo,ItemID,ItemName,UnitID,StockID,Price,Cost,Qty,RQty,RID,RDate,DlvDate,CQty,CID,CDate,ApID,TrackDate,DiscountText,DiscountAmt,TotalAmt,Description,AddID,AddDate,EditID,EditDate
250155,QT0006410,2,01SR09M-4P99,เหล็กเส้น09 มิลJ(ทอง)พับ4.99+-มอกมัดละ300ส,สน,,110,NULL,1,1,,NULL,2021-01-13 00:00:00.000,0,,NULL,,NULL,,0,110,,sysinsert,2021-01-06 14:18:33.970,sysupdate,2021-01-06 14:33:39.277
250190,SO5644503,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,112,NULL,100,0,,NULL,2021-01-06 00:00:00.000,0,,NULL,,NULL,,0,11200,,sysinsert,2021-01-06 14:33:41.427,sysupdate,2021-01-07 19:45:25.907
250289,QT0006422,1,01SR09M-10M,เหล็กเส้น 09 มิล 10 เมตร ตรง,สน,,110,NULL,600,600,,NULL,2021-02-05 00:00:00.000,0,,NULL,,NULL,,0,66000,,sysinsert,2021-01-06 16:34:33.773,sysupdate,2021-01-06 16:34:33.773
250339,SO5644523,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ1มัด,สน,01,110,NULL,300,0,02,2021-01-07 10:13:00.000,2021-01-06 00:00:00.000,0,,NULL,NULL,NULL,,0,33000,NULL,sysinsert,2021-01-06 17:04:53.900,sysupdate,2021-01-07 19:45:26.063
250449,SO5644535,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,114,NULL,25,0,,NULL,2021-01-07 00:00:00.000,0,,NULL,,NULL,,0,2850,,sysinsert,2021-01-07 09:37:04.360,sysupdate,2021-01-07 09:37:04.360
250469,SO5644544,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ2มัดTATA,สน,01,110,NULL,400,400,02,2021-01-08 08:51:00.000,2021-01-07 00:00:00.000,0,,NULL,NULL,NULL,,0,44000,NULL,sysinsert,2021-01-07 10:37:17.250,Was,2021-01-08 08:46:59.087
250521,SO5644559,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง)TATA พับ2มัด,สน,01,112,NULL,400,400,02,2021-01-08 08:52:00.000,2021-01-15 00:00:00.000,0,,NULL,NULL,NULL,,0,44800,NULL,sysinsert,2021-01-07 11:37:32.583,Was,2021-01-08 08:48:40.967
250548,QT0006430,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ/4.99+-,สน,,115,NULL,1,1,,NULL,2021-01-08 00:00:00.000,0,,NULL,,NULL,,0,115,,sysinsert,2021-01-07 12:07:39.040,sysupdate,2021-01-07 12:07:39.040
250597,SO5644571,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,112,NULL,100,0,,NULL,2021-01-07 00:00:00.000,0,,NULL,,NULL,,0,11200,,sysinsert,2021-01-07 13:07:58.927,sysupdate,2021-01-07 19:45:27.380
250639,SO5644578,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,112,NULL,30,0,,NULL,2021-01-07 00:00:00.000,0,,NULL,,NULL,,0,3360,,sysinsert,2021-01-07 13:53:13.737,sysupdate,2021-01-07 19:45:27.587
